"时间","商品房均价","住宅商品房均价","别墅、高档公寓均价","办公楼商品房均价","商业营业用房均价","其他商品房均价"
"2000","3565","3326","6108","9223","5110.85","2644.06"
"2001","3866","3658","6126","9501","6156.08","3256.72"
"2002","4134","4007","5787","8343","4968","3489"
"2003","5118","4989","6539","9711","6461.87","4239.98"
"2004","5855","5761.21","","9654.76","6308.37","4342.25"
"2005","6842","6698","7719.83","11866.8","7101","4983.01"
"2006","7196","7039","10835","12077.99","6479","5580.1"
"2007","8361","8253","12999.32","14223.4","6613","5595"
"2008","8195","8115","12792","11783","6610","5529"
"2009","12840","12364","22131","21598","15237","6860"
"2010","14464","14290","24952","18888","15779","7200"
"2011","14603.24","13565.83","26396.13","25996.8","19526.84","6266.42"
"2012","14061.37","13869.88","28195.63","20999.59","16217.95","4223.08"
"2013","16420","16192","28917","23623","19294","4732"
"2014","16787","16415","33415","24978","22014","6105"
"2015","20949","21501","37415","24754","20043","5136"
"2016","24747","25910","42735","29477","22854","5120"
"2017","23804","24866","54399","31753","26249","6024"
"2018","26890.08","28981.11","65458.33","32963.78","26475.07","7208.05"
"2019","30677","32926","64003","37890","29003","7041"
"2020","33798","36741","","46181","23714","6481"
